image,old_class,new_class,text,entity_value,entity_field
X51005255805,LINE_TOTAL,TOTAL,RM 14.10,14.10,total
X51005255805,ITEM,ADDRESS,"67,JLN MEWAH 25/63 TMN SRI MUDA,","67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM.",address
X51005268200,ITEM,COMPANY,AIK HUAT HARDWARE,AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,company
X51005268200,LINE_TOTAL,TOTAL,15.00,15.00,total
X51005268262,ITEM,COMPANY,HOME MASTER HARDWARE &,HOME MASTER HARDWARE & ELECTRICAL,company
X51005268262,LINE_TOTAL,TOTAL,15.90,15.90,total
X51005268262,ITEM,ADDRESS,"NO.113G & 115G, JALAN SETIA GEMBILANG","NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.",address
X51005268400,ITEM,COMPANY,RESTORAN HASSANBISTRO,RESTORAN HASSANBISTRO,company
X51005268400,LINE_TOTAL,TOTAL,15.00,15.00,total
X51005268472,ITEM,COMPANY,ASIA MART,ASIA MART,company
X51005268472,LINE_TOTAL,TOTAL,32.70,32.70,total
X51005301659,ITEM,COMPANY,HOME MASTER HARDWARE &,HOME MASTER HARDWARE & ELECTRICAL,company
X51005301659,LINE_TOTAL,TOTAL,15.90,15.90,total
X51005301659,ITEM,ADDRESS,"NO.113G & 115G, JALAN SETIA GEMBILANG","NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.",address
X51005301661,ITEM,COMPANY,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD,company
X51005301661,LINE_TOTAL,TOTAL,73.00,73.00,total
X51005301661,ITEM,ADDRESS,"KLANG SELANGOR D.E, MALAYSIA","NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",address
X51005301667,ITEM,COMPANY,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD,company
X51005301667,LINE_TOTAL,TOTAL,39.80,39.80,total
X51005303661,ITEM,COMPANY,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD,company
X51005303661,LINE_TOTAL,TOTAL,73.00,73.00,total
X51005303661,ITEM,ADDRESS,"KLANG SELANGOR D.E, MALAYSIA","NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",address
X51005306399,ITEM,COMPANY,SHELL ISNI PETRO TRADING,SHELL ISNI PETRO TRADING,company
X51005306399,OTHER,TOTAL,86.00 A,86.00,total
X51005306399,ITEM,ADDRESS,LOT 2685 JLN GENTING KLANG,LOT 2685 JLN GENTING KLANG 53300 KL SITE 1066,address
X51005337872,ITEM,COMPANY,SYL ROASTED DELIGHTS SDN. BHD.,SYL ROASTED DELIGHTS SDN. BHD.,company
X51005337872,LINE_TOTAL,TOTAL,54.50,54.50,total
X51005361883,ITEM,COMPANY,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS,company
X51005361883,LINE_TOTAL,TOTAL,4.90,4.90,total
X51005361895,ITEM,COMPANY,FUYI MINI MARKET,FUYI MINI MARKET,company
X51005361895,LINE_TOTAL,TOTAL,9.00,9.00,total
X51005361897,ITEM,COMPANY,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS,company
X51005361897,LINE_TOTAL,TOTAL,27.55,27.55,total
X51005361898,ITEM,COMPANY,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS,company
X51005361898,LINE_TOTAL,TOTAL,55.10,55.10,total
X51005361900,ITEM,COMPANY,TEO HENG STATIONERY & BOOKS,TEO HENG STATIONERY & BOOKS,company
X51005361900,LINE_TOTAL,TOTAL,18.00,18.00,total
X51005361907,ITEM,COMPANY,TEO HENG STATIONERY & BOOKS,TED HENG STATIONERY & BOOKS,company
X51005361907,LINE_TOTAL,TOTAL,153.35,153.35,total
X51005361946,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005361946,LINE_TOTAL,TOTAL,RM 37.10,37.10,total
X51005361950,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005361950,LINE_TOTAL,TOTAL,2.50,2.50,total
X51005361950,ITEM,ADDRESS,"LOT P.T. 2811, JALAN ANGSA,","LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1076-IJOK",address
X51005365179,ITEM,COMPANY,C W KHOO HARDWARE SDN BHD,C W KHOO HARDWARE SDN BHD,company
X51005365179,LINE_TOTAL,TOTAL,21.20,21.20,total
X51005365179,ITEM,ADDRESS,"KAWASAN PERINDUSTRIAN BUKIT SERDANG,","NO.50,JALAN PBS 14/11, KAWASAN PERINDUSTRIAN BUKIT SERDANG,",address
X51005433492,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005433492,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005433494,OTHER,TOTAL,75.00SR,75.00,total
X51005433514,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005433514,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI 81200 JOHOR BAHRU,JOHOR",address
X51005433522,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005433522,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005433533,ITEM,COMPANY,PERNIAGAAN ZHENG HUI,PERNIAGAAN ZHENG HUI,company
X51005433533,LINE_TOTAL,TOTAL,332.30,332.30,total
X51005433533,ITEM,ADDRESS,BANDAR BARU PERMAS JAYA,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,address
X51005433538,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005433538,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005433541,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005433541,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005433552,ADDRESS,COMPANY,WARAKUYA PERMAS CITY SDN BHD,WARAKUYA PERMAS CITY SDN BHD,company
X51005433552,LINE_TOTAL,TOTAL,57.80,57.80,total
X51005433553,ADDRESS,COMPANY,YHM AEON TEBRAU CITY,YHM AEON TEBRAU CITY,company
X51005433553,LINE_TOTAL,TOTAL,13.10,13.10,total
X51005441398,ITEM,COMPANY,DWNER BY CASTLE BLUE S/B,OWNER BY CASTLE BLUE S/B,company
X51005441398,LINE_TOTAL,TOTAL,189.75,189.75,total
X51005441398,ITEM,ADDRESS,"AVTIVO PLAZA,LOT B-F-11, BLOCK B","AVTIVO PLAZA,LOT B-F-11, BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA, 52000 KL",address
X51005441401,ITEM,COMPANY,THREE STOOGES,THREE STOOGES,company
X51005441401,LINE_TOTAL,TOTAL,343.95,343.95,total
X51005441401,ITEM,ADDRESS,DAMANSARA UTAMA,"109, SS21/1A, DAMANSARA UTAMA",address
X51005441402,ITEM,COMPANY,THREE STOOGES,THREE STOOGES,company
X51005441402,LINE_TOTAL,TOTAL,174.90,174.90,total
X51005441402,ITEM,ADDRESS,DAMANSARA UTAMA,"109, SS21/1A, DAMANSARA UTAMA",address
X51005441407,ITEM,COMPANY,TASTE OF THE WORLD SDN BHD,TASTE OF THE WORLD SDN BHD,company
X51005441407,LINE_TOTAL,TOTAL,RM 64.15,64.15,total
X51005441407,ITEM,ADDRESS,"JALAN KENARI 5, BANDAR PUCHONG JAYA,","LOT 38, 39 101 BOULEVARD, JALAN KENARI 5, BANDAR PUCHONG JAYA, 47170 PUCHONG, SELANGOR",address
X51005441408,ITEM,COMPANY,32 PUB & BISTRO OWN BY CNU TRADING,32 PUB & BISTRO OWN BY CNU TRADING,company
X51005441408,LINE_TOTAL,TOTAL,190.00,190.00,total
X51005442327,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442333,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442333,ITEM,ADDRESS,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442338,ITEM,COMPANY,PASAR MINI JIN SENG,PASAR MINI JIN SENG,company
X51005442338,LINE_TOTAL,TOTAL,28.60,28.60,total
X51005442341,ITEM,COMPANY,RESTAURANT SIN DU,RESTAURANT SIN DU,company
X51005442341,LINE_TOTAL,TOTAL,170.00,170.00,total
X51005442344,ITEM,COMPANY,YONG TAT HARDWARE TRADING,YONG TAT HARDWARE TRADING,company
X51005442344,LINE_TOTAL,TOTAL,100.90,100.90,total
X51005442346,ITEM,COMPANY,PERNIAGAAN ZHENG HUI,PERNIAGAAN ZHENG HUI,company
X51005442346,LINE_TOTAL,TOTAL,8.00,8.00,total
X51005442346,ITEM,ADDRESS,BANDAR BARU PERMAS JAYA,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,address
X51005442361,ITEM,COMPANY,TIME LESS KITCHENETTE SDN BHD,TIMELESS KITCHENETTE SDN BHD,company
X51005442361,LINE_TOTAL,TOTAL,593.10,593.10,total
X51005442376,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442376,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442378,ADDRESS,COMPANY,PAGOH REST AND SERVICE AREA,PAGOH REST AND SERVICE AREA,company
X51005442378,LINE_TOTAL,TOTAL,10.00,10.00,total
X51005442378,ITEM,ADDRESS,"LOT R1, KWS REHAT & RAWAT PAGOH ARAH UTARA,","LOT R1, KWS REHAT & RAWAT PAGOH ARAH UTARA, SIMPANG AMPAT PAGOH, LEBUHRAYA UTARA SELATAN, 84600,PAGOH,JOHOR",address
X51005442379,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442379,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442383,ITEM,COMPANY,CARREFOUR RESTAURANT,CARREFOUR RESTAURANT,company
X51005442383,LINE_TOTAL,TOTAL,13.80,13.80,total
X51005442383,ITEM,ADDRESS,"BANDAR BARU PERMAS JAYA,","18,JALAN PERMAS 10/7 BANDAR BARU PERMAS JAYA, MASAI,JOHOR",address
X51005442384,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442384,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442386,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442386,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442392,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442392,LINE_TOTAL,TOTAL,$7.10,$7.10,total
X51005442394,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51005442394,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51005442397,ITEM,COMPANY,TRIPLE SIX POINT ENTERPRISE 666,TRIPLE SIX POINT ENTERPRISE 666,company
X51005442397,LINE_TOTAL,TOTAL,7.60,7.60,total
X51005442397,ITEM,ADDRESS,NO 14& 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY,NO 14 & 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY,address
X51005444033,ITEM,COMPANY,BENS INDEPENDENT GROCER SDN. BHD,BENS INDEPENDENT GROCER SDN. BHD,company
X51005444033,LINE_TOTAL,TOTAL,77.20,77.20,total
X51005444033,ITEM,ADDRESS,"PLAZA BATAI, DAMANSARA HEIGHTS","LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR",address
X51005444037,ITEM,COMPANY,NANDO'S CHICKENLAND MALAYSIA,NANDO'S CHICKENLAND MALAYSIA SDN BHD,company
X51005444037,LINE_TOTAL,TOTAL,129.30,129.30,total
X51005444037,ITEM,ADDRESS,"UNIT G-13, GROUND FLOOR, NO.1","UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUALA LUMPUR",address
X51005444045,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005444045,OTHER,TOTAL,RM11.40 S,11.40,total
X51005447832,ITEM,COMPANY,PETRODELI ENTERPRISE,PETRODELI ENTERPRISE,company
X51005447832,OTHER,TOTAL,85.54 C,85.54,total
X51005447833,ITEM,COMPANY,SUN WONG KUT SDN BHD,SUN WONG KUT SDN BHD,company
X51005447833,OTHER,TOTAL,88.17 C,88.17,total
X51005447839,ITEM,COMPANY,RESTAURANT JIAWEI,RESTAURANT JIAWEI JIAWEI HOUSE,company
X51005447839,LINE_TOTAL,TOTAL,65.20,65.20,total
X51005447839,ITEM,ADDRESS,MEDAN NIAGA DAMAI SG BESI,"13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI 57000 KL",address
X51005447840,ADDRESS,COMPANY,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR SDN BHD,company
X51005447840,LINE_TOTAL,TOTAL,8.20,8.20,total
X51005447840,OTHER,ADDRESS,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4,","NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI",address
X51005447848,ITEM,COMPANY,LIAN CHI PU TIAN VEGETARIAN,LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD,company
X51005447848,LINE_TOTAL,TOTAL,53.55,53.55,total
X51005447848,ITEM,ADDRESS,"PETALING JAYA,SELANGOR","54,JALAN SS23/11 TAMAN SEA,47400 PETALING JAYA,SELANGOR",address
X51005447850,ADDRESS,COMPANY,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR SDN BHD,company
X51005447850,LINE_TOTAL,TOTAL,3.20,3.20,total
X51005447850,OTHER,ADDRESS,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4,","NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI",address
X51005447852,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005447852,OTHER,TOTAL,RM9.90 Z,9.90,total
X51005447853,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005447853,LINE_TOTAL,TOTAL,141.50,141.50,total
X51005447860,LINE_TOTAL,TOTAL,17.70,17.70,total
X51005447860,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51005447861,LINE_TOTAL,TOTAL,49.40,49.40,total
X51005447861,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51005453729,ITEM,COMPANY,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,company
X51005453729,LINE_TOTAL,TOTAL,79.50,79.50,total
X51005453801,ITEM,COMPANY,GL HANDICRAFT & TAIL ORING,GL HANDICRAFT & TAIL ORING,company
X51005453801,LINE_TOTAL,TOTAL,102.00,102.00,total
X51005453802,ITEM,COMPANY,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,company
X51005453802,LINE_TOTAL,TOTAL,159.00,159.00,total
X51005453802,OTHER,ADDRESS,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9,","NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",address
X51005453804,ITEM,COMPANY,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,company
X51005453804,LINE_TOTAL,TOTAL,12.00,12.00,total
X51005453804,OTHER,ADDRESS,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9,","NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",address
X51005568827,ITEM,COMPANY,BANH MI CAFE,BANH MI CAFE SDN BHD,company
X51005568827,LINE_TOTAL,TOTAL,23.25,23.25,total
X51005568829,ITEM,COMPANY,THAI DELICIOUS RESTAURANT,THAI DELICIOUS RESTAURANT,company
X51005568829,LINE_TOTAL,TOTAL,92.80,92.80,total
X51005568880,ITEM,COMPANY,MR.D.I.Y(M)SDN BHD,MR.D.I.Y(M)SDN BHD,company
X51005568880,LINE_TOTAL,TOTAL,RM 15.90,15.90,total
X51005568881,ITEM,COMPANY,HON HWA HARDWARE TRADING,HON HWA HARDWARE TRADING,company
X51005568881,LINE_TOTAL,TOTAL,10.40,10.40,total
X51005568881,ITEM,ADDRESS,"NO 37, JALAN MANIS 7, TAMAN SEGAR,","NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",address
X51005568884,ITEM,COMPANY,MR. D.I.Y. SDN BHD,MR. D.I.Y. SDN BHD,company
X51005568884,LINE_TOTAL,TOTAL,3.90,RM 3.90,total
X51005568891,ITEM,COMPANY,HON HWA HARDWARE TRADING,HON HWA HARDWARE TRADING,company
X51005568891,LINE_TOTAL,TOTAL,277.00,277.00,total
X51005568891,ITEM,ADDRESS,"NO 37, JALAN MANIS 7, TAMAN SEGAR,","NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",address
X51005568898,DOCUMENT_NO,COMPANY,VIVOPAC MARKETING SDN BHD (1070687-M),VIVOPAC MARKETING SDN BHD,company
X51005568898,LINE_TOTAL,TOTAL,18.80,18.80,total
X51005568899,ITEM,COMPANY,MR. D.I.Y. SDN BHD,MR. D.I.Y. SDN BHD,company
X51005568899,LINE_TOTAL,TOTAL,5.90,5.90,total
X51005568900,ITEM,COMPANY,MR. D.I.Y. SDN BHD,MR. D.I.Y. SDN BHD,company
X51005568900,LINE_TOTAL,TOTAL,9.90,9.90,total
X51005568911,ITEM,COMPANY,MR. D.I.Y. (KUCHAI) SDN BHD,MR. D.I.Y. (KUCHAI) SDN BHD,company
X51005568911,LINE_TOTAL,TOTAL,RM 37.80,37.80,total
X51005568913,ITEM,COMPANY,IKANO HANDEL SDN BHD,IKANO HANDEL SDN BHD,company
X51005568913,OTHER,TOTAL,538.00 SRS,538.00,total
X51005568913,ITEM,ADDRESS,NO 2A JALAN COCHRANE,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,address
X51005568914,ITEM,COMPANY,IKANO HANDEL SDN BHD,IKANO HANDEL SDN BHD,company
X51005568914,LINE_TOTAL,TOTAL,99.80,99.80,total
X51005568914,ITEM,ADDRESS,NO 2A JALAN COCHRANE,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,address
X51005577192,ITEM,COMPANY,FY EAGLE ENTERPRISE,FY EAGLE ENTERPRISE,company
X51005577192,LINE_TOTAL,TOTAL,7.00,7.00,total
X51005577192,ITEM,ADDRESS,"TAMAN PERINDUSTRIAN BUKIT SERDANG,","NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR",address
X51005587254,ADDRESS,COMPANY,TRI SHAAS SDN BHD (728515-M),TRI SHAAS SDN BHD,company
X51005587254,LINE_TOTAL,TOTAL,5.00,5.00,total
X51005587254,ITEM,ADDRESS,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA","4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",address
X51005587267,ADDRESS,COMPANY,TRI SHAAS SDN BHD (728515-N),TRI SHAAS SDN BHD,company
X51005587267,LINE_TOTAL,TOTAL,85.10,85.10,total
X51005587267,ITEM,ADDRESS,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA","4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",address
X51005605284,LINE_TOTAL,TOTAL,83.00,83.00,total
X51005605284,ITEM,ADDRESS,"WANGSA LINK, WANGSA MAJU,","NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",address
X51005605285,OTHER,TOTAL,5.90SR,5.90,total
X51005605285,ITEM,ADDRESS,"3 FLOOR, AEON TAMAN MALURI SC","3 FLOOR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51005605286,OTHER,TOTAL,5.90SR,5.90,total
X51005605286,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51005605333,ITEM,COMPANY,POPULAR BOOK,POPULAR BOOK CO. (M) SDN BHD,company
X51005605333,LINE_TOTAL,TOTAL,31.45,31.45,total
X51005605333,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA KL FESTIVAL CITY MALL",address
X51005605334,LINE_TOTAL,TOTAL,9.65,9.65,total
X51005605334,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51005605335,LINE_TOTAL,TOTAL,21.00,21.00,total
X51005605335,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51005663272,ITEM,COMPANY,WAHIN HARDWARE SDN BHD,WAHIN HARDWARE SDN BHD,company
X51005663272,LINE_TOTAL,TOTAL,42.40,42.40,total
X51005663273,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005663273,LINE_TOTAL,TOTAL,47.70,47.70,total
X51005663276,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005663276,LINE_TOTAL,TOTAL,7.42,7.42,total
X51005663276,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS.","NO 290, JALAN AIR PANAS. SETAPAK. 53200, KUALA LUMPUR.",address
